memberNumber,year,month,comunity,cannon,water,electricity
100,2024,Febrero,80,12.50,7,76
106,2024,Febrero,80,12.50,14,12
108,2024,Febrero,80,12.50,2,103
110,2024,Febrero,80,12.50,26,45
112,2024,Febrero,80,12.50,12,92
114,2024,Febrero,80,12.50,5,18
116,2024,Febrero,80,12.50,20,57
118,2024,Febrero,80,12.50,3,34
120,2024,Febrero,80,12.50,16,109
122,2024,Febrero,80,12.50,10,65
124,2024,Febrero,80,12.50,0,97
126,2024,Febrero,80,12.50,7,81
128,2024,Febrero,80,12.50,29,23
130,2024,Febrero,80,12.50,27,8
132 - 134,2024,Febrero,160,25,30,114
136,2024,Febrero,80,12.50,23,69
138,2024,Febrero,80,12.50,16,25
140,2024,Febrero,80,12.50,7,110
142,2024,Febrero,80,12.50,1,41
144,2024,Febrero,80,12.50,21,1
146,2024,Febrero,80,12.50,9,4
148,2024,Febrero,80,12.50,6,107
150,2024,Febrero,80,12.50,8,71
152,2024,Febrero,80,12.50,14,79
154,2024,Febrero,80,12.50,11,13
156,2024,Febrero,80,12.50,12,86
158,2024,Febrero,80,12.50,25,29
200,2024,Febrero,80,12.50,30,95
202,2024,Febrero,80,12.50,15,47
204,2024,Febrero,80,12.50,17,68
205,2024,Febrero,80,12.50,18,84
206,2024,Febrero,80,12.50,20,37
207,2024,Febrero,80,12.50,4,119
208,2024,Febrero,80,12.50,23,102
209,2024,Febrero,80,12.50,13,59
210,2024,Febrero,80,12.50,17,111
211,2024,Febrero,80,12.50,10,38
212,2024,Febrero,80,12.50,17,100
213,2024,Febrero,80,12.50,5,7
214,2024,Febrero,80,12.50,1,117
215,2024,Febrero,80,12.50,3,28
216,2024,Febrero,80,12.50,21,115
217,2024,Febrero,80,12.50,22,88
218,2024,Febrero,80,12.50,2,64
219,2024,Febrero,80,12.50,12,58
220,2024,Febrero,80,12.50,27,98
221,2024,Febrero,80,12.50,17,32
222,2024,Febrero,80,12.50,10,75
224,2024,Febrero,80,12.50,23,5
223 - 225,2024,Febrero,160,25,26,24
226,2024,Febrero,80,12.50,0,6
227,2024,Febrero,80,12.50,17,52
228,2024,Febrero,80,12.50,20,82
229,2024,Febrero,80,12.50,22,99
230,2024,Febrero,80,12.50,10,22
231,2024,Febrero,80,25,26,54
232 - 234,2024,Febrero,160,12.50,2,44
233,2024,Febrero,80,12.50,17,50
235,2024,Febrero,80,12.50,7,94
236,2024,Febrero,80,12.50,25,90
237,2024,Febrero,80,12.50,14,101
238,2024,Febrero,80,12.50,6,73
239,2024,Febrero,80,12.50,8,2
240,2024,Febrero,80,12.50,17,26
241,2024,Febrero,80,12.50,28,62
242,2024,Febrero,80,12.50,17,55
243,2024,Febrero,80,12.50,28,31
244,2024,Febrero,80,12.50,30,11
245,2024,Febrero,80,12.50,12,93
246,2024,Febrero,80,12.50,20,40
247,2024,Febrero,80,12.50,21,3
248,2024,Febrero,80,12.50,27,89
249,2024,Febrero,80,12.50,15,35
250,2024,Febrero,80,12.50,8,20
251,2024,Febrero,80,12.50,1,72
252,2024,Febrero,80,12.50,14,33
253,2024,Febrero,80,12.50,5,119
254,2024,Febrero,80,12.50,25,60
255,2024,Febrero,80,12.50,17,9
256,2024,Febrero,80,12.50,0,113
257,2024,Febrero,80,12.50,30,46
258,2024,Febrero,80,12.50,6,30
259,2024,Febrero,80,12.50,2,66
260,2024,Febrero,80,12.50,11,118
301,2024,Febrero,80,12.50,25,105
302,2024,Febrero,80,12.50,5,117
303,2024,Febrero,80,12.50,30,114
304,2024,Febrero,80,12.50,4,83
305,2024,Febrero,80,12.50,21,27
306,2024,Febrero,80,12.50,6,77
307,2024,Febrero,80,12.50,7,61
308,2024,Febrero,80,12.50,21,16
309,2024,Febrero,80,12.50,9,56
310,2024,Febrero,80,12.50,28,96
311,2024,Febrero,80,12.50,5,39
312,2024,Febrero,80,12.50,17,63
313,2024,Febrero,80,12.50,5,116
314,2024,Febrero,80,12.50,23,85
315,2024,Febrero,80,12.50,9,108
316,2024,Febrero,80,12.50,30,67
317,2024,Febrero,80,12.50,16,15
318,2024,Febrero,80,12.50,0,87
319,2024,Febrero,80,12.50,9,70
320,2024,Febrero,80,12.50,14,78
321,2024,Febrero,80,12.50,19,49
322,2024,Febrero,80,12.50,10,42
323,2024,Febrero,80,12.50,28,80
324,2024,Febrero,80,12.50,8,106
325,2024,Febrero,80,12.50,23,91
326,2024,Febrero,80,12.50,14,21
327,2024,Febrero,80,12.50,6,36
328,2024,Febrero,80,12.50,7,10
329,2024,Febrero,80,12.50,2,104
330,2024,Febrero,80,12.50,25,48
331,2024,Febrero,80,12.50,1,51
332,2024,Febrero,80,12.50,0,14
333,2024,Febrero,80,12.50,14,74
334,2024,Febrero,80,12.50,15,43
335,2024,Febrero,80,12.50,17,0
336,2024,Febrero,80,18,22,120
337 - 339 (50%),2024,Febrero,100,12.50,14,53
338,2024,Febrero,80,12.50,12,17
340,2024,Febrero,80,18,0,112
341 - 339 (50%),2024,Febrero,100,12.50,4,19
342,2024,Febrero,80,12.50,20,38
343,2024,Febrero,80,12.50,29,63
344,2024,Febrero,80,12.50,14,87
345,2024,Febrero,80,12.50,3,29
346,2024,Febrero,80,12.50,12,14
347,2024,Febrero,80,12.50,13,95
348,2024,Febrero,80,12.50,2,7
349,2024,Febrero,80,12.50,17,101
350,2024,Febrero,80,12.50,20,53
351,2024,Febrero,80,12.50,14,16
352,2024,Febrero,80,12.50,22,82
353,2024,Febrero,80,12.50,6,48
354,2024,Febrero,80,12.50,5,111
355,2024,Febrero,80,12.50,17,6
356,2024,Febrero,80,12.50,6,37
357,2024,Febrero,80,12.50,30,76
358,2024,Febrero,80,12.50,16,104
359,2024,Febrero,80,12.50,27,23
401,2024,Febrero,80,12.50,6,59
402,2024,Febrero,80,12.50,7,97
